Workshop ID,Location,Perception,Lon,Lat,Timestamp
1,1,3,-0.004744,51.509824,2018-03-14T10:58:00.000z
1,2,2,-0.003672,51.510358,2018-03-14T11:04:00.000z
1,3,3,-0.002685,51.510358,2018-03-14T11:07:00.000z
1,4,3,-0.003586,51.5114,2018-03-14T11:10:00.000z
1,5,3,-0.004272,51.510899,2018-03-14T11:14:00.000z
1,6,4,-0.005056,51.510445,2018-03-14T11:17:00.000z
2,1,2,-0.013321,51.517422,2018-03-28T12:05:00.000z
2,2,4,-0.011357,51.515817,2018-03-28T12:12:00.000z
2,3,4,-0.010108,51.514305,2018-03-28T12:17:00.000z
2,4,3,-0.009205,51.515434,2018-03-28T12:21:00.000z
2,5,3,-0.009905,51.516195,2018-03-28T12:25:00.000z
2,6,4,-0.010667,51.517638,2018-03-28T12:30:00.000z
3,1,4,-0.007698,51.491923,2018-03-31T11:38:08.000z
3,2,3,-0.00764,51.493801,2018-03-31T11:45:08.000z
3,3,3,-0.005527,51.494618,2018-03-31T11:52:31.000z
3,4,2,-0.004185,51.493663,2018-03-31T11:58:15.000z
3,5,3,-0.004456,51.493075,2018-03-31T12:03:51.000z
3,6,4,-0.005916,51.490965,2018-03-31T12:07:50.000z
4,1,2,-0.013109,51.523737,2018-04-20T09:17:00.000z
4,2,5,-0.015077,51.524149,2018-04-20T09:23:00.000z
4,3,3,-0.016021,51.52374,2018-04-20T09:27:00.000z
4,4,3,-0.01599,51.523486,2018-04-20T09:30:00.000z
4,5,3,-0.01505,51.523376,2018-04-20T09:34:00.000z
4,6,3,-0.014967,51.523046,2018-04-20T09:40:00.000z
4,7,3,-0.012979,51.523296,2018-04-20T09:44:00.000z
5,1,3,-0.049581,51.529976,2018-04-23T13:13:00.000z
5,2,3,-0.050141,51.52926,2018-04-23T13:17:00.000z
5,3,4,-0.051226,51.528591,2018-04-23T13:22:00.000z
5,4,4,-0.052084,51.528996,2018-04-23T13:27:00.000z
5,5,3,-0.053893,51.528778,2018-04-23T13:31:00.000z
5,6,5,-0.053784,51.527534,2018-04-23T13:35:00.000z
5,7,4,-0.051016,51.527973,2018-04-23T13:41:00.000z
5,8,4,-0.047389,51.529087,2018-04-23T13:48:00.000z
6,1,3,-0.071385,51.513165,2018-04-25T09:17:04.718z
6,2,4,-0.072538,51.512873,2018-04-25T09:20:30.269z
6,3,3,-0.072265,51.511493,2018-04-25T09:24:53.739z
6,4,5,-0.069203,51.511957,2018-04-25T09:31:20.281z
6,5,2,-0.068837,51.512866,2018-04-25T09:36:24.204z
6,6,2,-0.070054,51.513313,2018-04-25T09:40:54.692z
6,7,4,-0.071512,51.513576,2018-04-25T09:47:21.079z
6,8,3,-0.07132,51.512856,2018-04-25T09:50:51.629z
